asset_software_id,asset_id,vendor,product,version,cpe,install_source
1,A00001,postgresql,postgresql,3.0,cpe:2.3:a:postgresql:postgresql:3.0:*:*:*:*:*:*:*,golden-image
2,A00001,microsoft,sql_server,2019,cpe:2.3:a:microsoft:sql_server:2019:*:*:*:*:*:*:*,golden-image
3,A00001,vmware,esxi,2016,cpe:2.3:o:vmware:esxi:2016:*:*:*:*:*:*:*,package-manager
4,A00002,elastic,elasticsearch,1.0,cpe:2.3:a:elastic:elasticsearch:1.0:*:*:*:*:*:*:*,package-manager
5,A00002,redhat,enterprise_linux,8.0,cpe:2.3:o:redhat:enterprise_linux:8.0:*:*:*:*:*:*:*,manual
6,A00002,apache,http_server,10.0,cpe:2.3:a:apache:http_server:10.0:*:*:*:*:*:*:*,package-manager
7,A00002,docker,engine,7.0,cpe:2.3:a:docker:docker:7.0:*:*:*:*:*:*:*,golden-image
8,A00002,vmware,esxi,1.2,cpe:2.3:o:vmware:esxi:1.2:*:*:*:*:*:*:*,golden-image
9,A00002,kibana,kibana,6.0,cpe:2.3:a:elastic:kibana:6.0:*:*:*:*:*:*:*,golden-image
10,A00003,microsoft,sql_server,2.0,cpe:2.3:a:microsoft:sql_server:2.0:*:*:*:*:*:*:*,golden-image
11,A00003,vmware,esxi,3.1,cpe:2.3:o:vmware:esxi:3.1:*:*:*:*:*:*:*,golden-image
12,A00003,nginx,nginx,10.0,cpe:2.3:a:nginx:nginx:10.0:*:*:*:*:*:*:*,package-manager
13,A00003,kibana,kibana,2.1,cpe:2.3:a:elastic:kibana:2.1:*:*:*:*:*:*:*,package-manager
14,A00003,docker,engine,3.1,cpe:2.3:a:docker:docker:3.1:*:*:*:*:*:*:*,golden-image
15,A00003,ubuntu,linux,12.0,cpe:2.3:o:canonical:ubuntu_linux:12.0:*:*:*:*:*:*:*,package-manager
16,A00003,elastic,elasticsearch,4.0,cpe:2.3:a:elastic:elasticsearch:4.0:*:*:*:*:*:*:*,package-manager
17,A00003,apache,http_server,2019,cpe:2.3:a:apache:http_server:2019:*:*:*:*:*:*:*,package-manager
18,A00003,microsoft,windows_server,1.2,cpe:2.3:o:microsoft:windows_server:1.2:*:*:*:*:*:*:*,package-manager
19,A00004,redhat,enterprise_linux,9.0,cpe:2.3:o:redhat:enterprise_linux:9.0:*:*:*:*:*:*:*,golden-image
20,A00004,kubernetes,kubernetes,2016,cpe:2.3:a:kubernetes:kubernetes:2016:*:*:*:*:*:*:*,package-manager
21,A00004,microsoft,windows_server,3.0,cpe:2.3:o:microsoft:windows_server:3.0:*:*:*:*:*:*:*,manual
22,A00004,ubuntu,linux,2.1,cpe:2.3:o:canonical:ubuntu_linux:2.1:*:*:*:*:*:*:*,golden-image
23,A00005,openssl,openssl,1.2,cpe:2.3:a:openssl:openssl:1.2:*:*:*:*:*:*:*,package-manager
24,A00005,redhat,enterprise_linux,4.0,cpe:2.3:o:redhat:enterprise_linux:4.0:*:*:*:*:*:*:*,package-manager
25,A00005,nginx,nginx,9.0,cpe:2.3:a:nginx:nginx:9.0:*:*:*:*:*:*:*,package-manager
26,A00006,nginx,nginx,3.0,cpe:2.3:a:nginx:nginx:3.0:*:*:*:*:*:*:*,golden-image
27,A00006,kibana,kibana,3.0,cpe:2.3:a:elastic:kibana:3.0:*:*:*:*:*:*:*,golden-image
28,A00006,ubuntu,linux,2019,cpe:2.3:o:canonical:ubuntu_linux:2019:*:*:*:*:*:*:*,package-manager
29,A00006,apache,http_server,10.0,cpe:2.3:a:apache:http_server:10.0:*:*:*:*:*:*:*,golden-image
30,A00006,microsoft,windows_server,1.1,cpe:2.3:o:microsoft:windows_server:1.1:*:*:*:*:*:*:*,package-manager
31,A00006,microsoft,sql_server,3.0,cpe:2.3:a:microsoft:sql_server:3.0:*:*:*:*:*:*:*,package-manager
32,A00006,redhat,enterprise_linux,1.0,cpe:2.3:o:redhat:enterprise_linux:1.0:*:*:*:*:*:*:*,package-manager
33,A00006,elastic,elasticsearch,4.0,cpe:2.3:a:elastic:elasticsearch:4.0:*:*:*:*:*:*:*,manual
34,A00007,mysql,mysql,2.0,cpe:2.3:a:oracle:mysql:2.0:*:*:*:*:*:*:*,package-manager
35,A00007,vmware,esxi,1.2,cpe:2.3:o:vmware:esxi:1.2:*:*:*:*:*:*:*,package-manager
36,A00007,kibana,kibana,9.0,cpe:2.3:a:elastic:kibana:9.0:*:*:*:*:*:*:*,package-manager
37,A00007,openssl,openssl,3.1,cpe:2.3:a:openssl:openssl:3.1:*:*:*:*:*:*:*,package-manager
38,A00007,postgresql,postgresql,3.0,cpe:2.3:a:postgresql:postgresql:3.0:*:*:*:*:*:*:*,package-manager
39,A00007,microsoft,windows_server,6.0,cpe:2.3:o:microsoft:windows_server:6.0:*:*:*:*:*:*:*,golden-image
40,A00007,microsoft,sql_server,5.0,cpe:2.3:a:microsoft:sql_server:5.0:*:*:*:*:*:*:*,package-manager
41,A00007,docker,engine,2016,cpe:2.3:a:docker:docker:2016:*:*:*:*:*:*:*,package-manager
42,A00007,kubernetes,kubernetes,12.0,cpe:2.3:a:kubernetes:kubernetes:12.0:*:*:*:*:*:*:*,golden-image
43,A00008,openssl,openssl,12.0,cpe:2.3:a:openssl:openssl:12.0:*:*:*:*:*:*:*,golden-image
44,A00008,apache,http_server,2.0,cpe:2.3:a:apache:http_server:2.0:*:*:*:*:*:*:*,golden-image
45,A00008,docker,engine,1.1,cpe:2.3:a:docker:docker:1.1:*:*:*:*:*:*:*,package-manager
46,A00009,microsoft,sql_server,5.0,cpe:2.3:a:microsoft:sql_server:5.0:*:*:*:*:*:*:*,manual
47,A00009,mysql,mysql,4.0,cpe:2.3:a:oracle:mysql:4.0:*:*:*:*:*:*:*,package-manager
48,A00009,microsoft,windows_server,2016,cpe:2.3:o:microsoft:windows_server:2016:*:*:*:*:*:*:*,manual
49,A00009,redhat,enterprise_linux,2019,cpe:2.3:o:redhat:enterprise_linux:2019:*:*:*:*:*:*:*,package-manager
50,A00009,kubernetes,kubernetes,3.1,cpe:2.3:a:kubernetes:kubernetes:3.1:*:*:*:*:*:*:*,golden-image
51,A00009,kibana,kibana,2022,cpe:2.3:a:elastic:kibana:2022:*:*:*:*:*:*:*,package-manager
52,A00009,vmware,esxi,3.0,cpe:2.3:o:vmware:esxi:3.0:*:*:*:*:*:*:*,package-manager
53,A00009,docker,engine,3.0,cpe:2.3:a:docker:docker:3.0:*:*:*:*:*:*:*,golden-image
54,A00010,kibana,kibana,1.2,cpe:2.3:a:elastic:kibana:1.2:*:*:*:*:*:*:*,golden-image
55,A00010,microsoft,windows_server,2.1,cpe:2.3:o:microsoft:windows_server:2.1:*:*:*:*:*:*:*,package-manager
56,A00010,kubernetes,kubernetes,8.0,cpe:2.3:a:kubernetes:kubernetes:8.0:*:*:*:*:*:*:*,golden-image
57,A00010,openssl,openssl,11.0,cpe:2.3:a:openssl:openssl:11.0:*:*:*:*:*:*:*,golden-image
58,A00010,elastic,elasticsearch,8.0,cpe:2.3:a:elastic:elasticsearch:8.0:*:*:*:*:*:*:*,golden-image
59,A00010,nginx,nginx,1.1,cpe:2.3:a:nginx:nginx:1.1:*:*:*:*:*:*:*,package-manager
60,A00010,redhat,enterprise_linux,1.2,cpe:2.3:o:redhat:enterprise_linux:1.2:*:*:*:*:*:*:*,golden-image
61,A00010,mysql,mysql,2.0,cpe:2.3:a:oracle:mysql:2.0:*:*:*:*:*:*:*,golden-image
62,A00011,openssl,openssl,9.0,cpe:2.3:a:openssl:openssl:9.0:*:*:*:*:*:*:*,golden-image
63,A00011,docker,engine,1.0,cpe:2.3:a:docker:docker:1.0:*:*:*:*:*:*:*,golden-image
64,A00011,apache,http_server,1.2,cpe:2.3:a:apache:http_server:1.2:*:*:*:*:*:*:*,golden-image
